"term","count"
"105","2"
"1758","1"
"1851","1"
"1855","2"
"1862","1"
"1966","2"
"1975","1"
"1987","4"
"1988","1"
"2","4"
"2001","1"
"260","1"
"279","1"
"281","1"
"287","2"
"288","1"
"361","1"
"452","1"
"453","1"
"5","1"
"580","1"
"82","1"
"a","5"
"abdomen","1"
"allonge","1"
"Antichthonidris","1"
"Armstrong","1"
"articulations","1"
"Atta","1"
"aux","1"
"avec","1"
"Bolton","5"
"bord","1"
"bornent","1"
"brocha","1"
"brun","1"
"brunatre","2"
"by","9"
"changes","1"
"chez","2"
"comme","1"
"concave","1"
"couleur","1"
"d'un","2"
"D'une","1"
"de","1"
"denticulata","1"
"denticulatum","1"
"des","2"
"designation","3"
"deux","1"
"echancrees","1"
"egales","1"
"elles","1"
"encore","1"
"Ent","2"
"entre","1"
"Epelysidris","2"
"est","1"
"et","3"
"Ettershank","2"
"exterieures","1"
"extremite","1"
"Fernandez","4"
"foncee","1"
"for","1"
"For","1"
"genitales","1"
"genus","2"
"Heterick","1"
"homonym","1"
"in","5"
"inedite","1"
"interne","1"
"J","1"
"jaunatre","1"
"jaunatres","1"
"jaune","2"
"Jerdon","1"
"Jour","1"
"junior","2"
"L","1"
"l","1"
"l'echancrure","1"
"l'ouvriere","1"
"la","1"
"latastei","1"
"Le","1"
"les","2"
"Les","1"
"leur","1"
"localite","1"
"locality","1"
"M","2"
"m","1"
"male","1"
"Mayr","2"
"Meme","1"
"mill","1"
"minuta","1"
"minutum","1"
"Monomorium","7"
"monomorium","1"
"monotypy","2"
"moyennes","1"
"N","1"
"name","1"
"New","1"
"noiratre","1"
"nomenclatural","1"
"Nothidris","1"
"Nyngan","1"
"of","4"
"oppose","1"
"original","3"
"p","3"
"P","1"
"Pattes","1"
"pattes","1"
"peu","2"
"Phacota","3"
"pharaonis","1"
"plus","6"
"Poils","1"
"pointus","1"
"press","4"
"prior","1"
"Proc","1"
"prolongement","1"
"protuberances","1"
"Psyche","1"
"que","1"
"queen","3"
"qui","1"
"R","2"
"replacement","1"
"rev","1"
"Roger","1"
"secondary","1"
"see","1"
"sichelii","1"
"Sikorae","1"
"Smith","2"
"Snelling","1"
"Soc","2"
"son","1"
"sont","2"
"South","1"
"species","1"
"species-level","1"
"syn","1"
"synonym","1"
"Synonymy","4"
"synonymy","2"
"T","1"
"testacees","1"
"the","1"
"to","1"
"Type","2"
"Type-species","4"
"un","2"
"Une","1"
"valvules","2"
"variete","1"
"verrues","1"
"W","1"
"Wales","1"
"Wash","1"
"Wheeler","1"
"without","1"
"worker","3"
"Y","1"
