"term","count"
"1,2","1"
"1.14","1"
"1.27","1"
"1.5","1"
"11","1"
"12","2"
"1987","2"
"2","1"
"2,2","1"
"2.80","1"
"2.84","1"
"3","2"
"3,2","1"
"3,3","1"
"3.01","1"
"3.12","1"
"36","1"
"4.5","1"
"5,3","1"
"7","1"
"a","21"
"about","4"
"above","2"
"abruptly","1"
"absent","10"
"accompanying","1"
"acute-angled","1"
"Alate","1"
"all","5"
"almost","7"
"also","3"
"always","6"
"among","4"
"an-terolateral","1"
"and","63"
"anepisternum","1"
"angle","1"
"angulate","1"
"ante-riormost","1"
"antenna","2"
"Antennae","1"
"antennal","7"
"Antennal","1"
"anteriad","3"
"anterior","3"
"antero-dorsally","1"
"antero-lateral","1"
"anterolateral","1"
"anteromedian","4"
"anteroventral","1"
"Anteroventral","1"
"ants","1"
"apical","1"
"appressed","5"
"approximately","2"
"are","6"
"armed","1"
"around","1"
"arrows","1"
"articulation","1"
"as","8"
"associate","1"
"asymmetrical","1"
"at","13"
"aureorugosum","1"
"axilla","1"
"Axillae","1"
"backward","1"
"basal","4"
"base","2"
"Basin","7"
"be","6"
"behind","2"
"being","1"
"below","1"
"between","1"
"bicarinate","1"
"biological","1"
"blunt","1"
"Body","3"
"Bolton","2"
"both","1"
"bottom","1"
"brachypterous","1"
"bristle-like","1"
"broad","5"
"broadly","2"
"brown","1"
"but","21"
"by","2"
"By","1"
"can","2"
"capsule","3"
"carina","5"
"carinae","3"
"cases","1"
"central","3"
"characteristically","1"
"CI","2"
"circular","2"
"close","1"
"club","7"
"clypeal","5"
"clypeus","4"
"Clypeus","1"
"colony","1"
"coming","1"
"commonly","3"
"compared","1"
"compound","1"
"compressed","1"
"concave","5"
"concavity","1"
"conical","1"
"consisting","3"
