Term;Main Term;Main Term URI
anatomical entity;anatomical entity;http://purl.obolibrary.org/obo/HAO_0000000
ventral mesofurco-profurcal muscle;ventral mesofurco-profurcal muscle;http://purl.obolibrary.org/obo/HAO_0000001
fu2-fu1v;ventral mesofurco-profurcal muscle;http://purl.obolibrary.org/obo/HAO_0000001
mesothoracic interfurcal muscle;ventral mesofurco-profurcal muscle;http://purl.obolibrary.org/obo/HAO_0000001
ventral mesofurco-profurcal;ventral mesofurco-profurcal muscle;http://purl.obolibrary.org/obo/HAO_0000001
A1 flap;A1 flap;http://purl.obolibrary.org/obo/HAO_0000002
anatomical structure;anatomical structure;http://purl.obolibrary.org/obo/HAO_0000003
portion of organism substance;portion of organism substance;http://purl.obolibrary.org/obo/HAO_0000004
anatomical space;anatomical space;http://purl.obolibrary.org/obo/HAO_0000005
material anatomical entity;material anatomical entity;http://purl.obolibrary.org/obo/HAO_0000006
immaterial anatomical entity;immaterial anatomical entity;http://purl.obolibrary.org/obo/HAO_0000007
anatomical line;anatomical line;http://purl.obolibrary.org/obo/HAO_0000008
anatomical point;anatomical point;http://purl.obolibrary.org/obo/HAO_0000009
anatomical surface;anatomical surface;http://purl.obolibrary.org/obo/HAO_0000010
anatomical system;anatomical system;http://purl.obolibrary.org/obo/HAO_0000011
multi-cellular organism;multi-cellular organism;http://purl.obolibrary.org/obo/HAO_0000012
whole organism;multi-cellular organism;http://purl.obolibrary.org/obo/HAO_0000012
cell;cell;http://purl.obolibrary.org/obo/HAO_0000013
cell component;cell component;http://purl.obolibrary.org/obo/HAO_0000014
abdomen;abdomen;http://purl.obolibrary.org/obo/HAO_0000015
der Hinterleib;abdomen;http://purl.obolibrary.org/obo/HAO_0000015
abdominal segment;abdominal segment;http://purl.obolibrary.org/obo/HAO_0000016
abdominal segment 1;abdominal segment 1;http://purl.obolibrary.org/obo/HAO_0000017
abdominal segment 10;abdominal segment 10;http://purl.obolibrary.org/obo/HAO_0000018
compound organ component;compound organ component;http://purl.obolibrary.org/obo/HAO_0000019
abdominal segment 2;abdominal segment 2;http://purl.obolibrary.org/obo/HAO_0000020
abdominal petiole;abdominal segment 2;http://purl.obolibrary.org/obo/HAO_0000020
first metasomal segment;abdominal segment 2;http://purl.obolibrary.org/obo/HAO_0000020
petiole;abdominal segment 2;http://purl.obolibrary.org/obo/HAO_0000020
simple organ;simple organ;http://purl.obolibrary.org/obo/HAO_0000021
abdominal segment 3;abdominal segment 3;http://purl.obolibrary.org/obo/HAO_0000022
abdominal segment 4;abdominal segment 4;http://purl.obolibrary.org/obo/HAO_0000023
compound organ;compound organ;http://purl.obolibrary.org/obo/HAO_0000024
abdominal segment 5;abdominal segment 5;http://purl.obolibrary.org/obo/HAO_0000025
abdominal segment 6;abdominal segment 6;http://purl.obolibrary.org/obo/HAO_0000026
male organism;male organism;http://purl.obolibrary.org/obo/HAO_0000027
female organism;female organism;http://purl.obolibrary.org/obo/HAO_0000028
hermaphroditic organism;hermaphroditic organism;http://purl.obolibrary.org/obo/HAO_0000029
asexual organism;asexual organism;http://purl.obolibrary.org/obo/HAO_0000030
abdominal segment 7;abdominal segment 7;http://purl.obolibrary.org/obo/HAO_0000031
organism subdivision;organism subdivision;http://purl.obolibrary.org/obo/HAO_0000032
abdominal segment 8;abdominal segment 8;http://purl.obolibrary.org/obo/HAO_0000033
abdominal segment 9;abdominal segment 9;http://purl.obolibrary.org/obo/HAO_0000034
genital segment;abdominal segment 9;http://purl.obolibrary.org/obo/HAO_0000034
tubular abdominal segment 9;abdominal segment 9;http://purl.obolibrary.org/obo/HAO_0000034
abdominal sternum 2;abdominal sternum 2;http://purl.obolibrary.org/obo/HAO_0000035
abdominal sternum 3;abdominal sternum 3;http://purl.obolibrary.org/obo/HAO_0000036
sternum 3;abdominal sternum 3;http://purl.obolibrary.org/obo/HAO_0000036
abdominal sternum 4;abdominal sternum 4;http://purl.obolibrary.org/obo/HAO_0000037
abdominal sternum 5;abdominal sternum 5;http://purl.obolibrary.org/obo/HAO_0000038
abdominal sternum 6;abdominal sternum 6;http://purl.obolibrary.org/obo/HAO_0000039
sixth abdominal sternum;abdominal sternum 6;http://purl.obolibrary.org/obo/HAO_0000039
acellular anatomical structure;acellular anatomical structure;http://purl.obolibrary.org/obo/HAO_0000040
anatomical cluster;anatomical cluster;http://purl.obolibrary.org/obo/HAO_0000041
extraembryonic structure;extraembryonic structure;http://purl.obolibrary.org/obo/HAO_0000042
portion of tissue;portion of tissue;http://purl.obolibrary.org/obo/HAO_0000043
abdominal sternum 7;abdominal sternum 7;http://purl.obolibrary.org/obo/HAO_0000044
6. bauchschuppe;abdominal sternum 7;http://purl.obolibrary.org/obo/HAO_0000044
hypopygium;abdominal sternum 7;http://purl.obolibrary.org/obo/HAO_0000044
letzte bauchschuppe;abdominal sternum 7;http://purl.obolibrary.org/obo/HAO_0000044
plaque ventrale;abdominal sternum 7;http://purl.obolibrary.org/obo/HAO_0000044
sequential hermaphroditic organism;sequential hermaphroditic organism;http://purl.obolibrary.org/obo/HAO_0000045
synchronous hermaphroditic organism;synchronous hermaphroditic organism;http://purl.obolibrary.org/obo/HAO_0000046
abdominal sternum 9;abdominal sternum 9;http://purl.obolibrary.org/obo/HAO_0000047
hypandrium;abdominal sternum 9;http://purl.obolibrary.org/obo/HAO_0000047
gonochoristic organism;gonochoristic organism;http://purl.obolibrary.org/obo/HAO_0000048
protandrous hermaphroditic organism;protandrous hermaphroditic organism;http://purl.obolibrary.org/obo/HAO_0000049
protogynous hermaphroditic organism;protogynous hermaphroditic organism;http://purl.obolibrary.org/obo/HAO_0000050
abdominal tergum 1;abdominal tergum 1;http://purl.obolibrary.org/obo/HAO_0000051
propodeum;abdominal tergum 1;http://purl.obolibrary.org/obo/HAO_0000051
abdominal tergum 10;abdominal tergum 10;http://purl.obolibrary.org/obo/HAO_0000052
epipygium;abdominal tergum 10;http://purl.obolibrary.org/obo/HAO_0000052
abdominal tergum 2;abdominal tergum 2;http://purl.obolibrary.org/obo/HAO_0000053
1st tergite;abdominal tergum 2;http://purl.obolibrary.org/obo/HAO_0000053
T2;abdominal tergum 2;http://purl.obolibrary.org/obo/HAO_0000053
first tergite;abdominal tergum 2;http://purl.obolibrary.org/obo/HAO_0000053
anatomical group;anatomical group;http://purl.obolibrary.org/obo/HAO_0000054
multi-tissue structure;multi-tissue structure;http://purl.obolibrary.org/obo/HAO_0000055
abdominal tergum 3;abdominal tergum 3;http://purl.obolibrary.org/obo/HAO_0000056
2nd tergite;abdominal tergum 3;http://purl.obolibrary.org/obo/HAO_0000056
third abdominal tergum;abdominal tergum 3;http://purl.obolibrary.org/obo/HAO_0000056
abdominal tergum 4;abdominal tergum 4;http://purl.obolibrary.org/obo/HAO_0000057
3rd tergite;abdominal tergum 4;http://purl.obolibrary.org/obo/HAO_0000057
abdominal tergum 5;abdominal tergum 5;http://purl.obolibrary.org/obo/HAO_0000058
4th tergite;abdominal tergum 5;http://purl.obolibrary.org/obo/HAO_0000058
abdominal tergum 6;abdominal tergum 6;http://purl.obolibrary.org/obo/HAO_0000059
5th tergite;abdominal tergum 6;http://purl.obolibrary.org/obo/HAO_0000059
T6;abdominal tergum 6;http://purl.obolibrary.org/obo/HAO_0000059
abdominal tergum 7;abdominal tergum 7;http://purl.obolibrary.org/obo/HAO_0000060
abdominal tergum 8;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
8. Tergit;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
T8;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
plaques stigmatiferes;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
stigmenplatten;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
trachealplatten;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
tracheenplatten;abdominal tergum 8;http://purl.obolibrary.org/obo/HAO_0000061
cell space;cell space;http://purl.obolibrary.org/obo/HAO_0000062
portion of cell substance;portion of cell substance;http://purl.obolibrary.org/obo/HAO_0000063
single cell organism;single cell organism;http://purl.obolibrary.org/obo/HAO_0000064
basal lamina;basal lamina;http://purl.obolibrary.org/obo/HAO_0000065
basement membrane;basal lamina;http://purl.obolibrary.org/obo/HAO_0000065
epithelium;epithelium;http://purl.obolibrary.org/obo/HAO_0000066
simple cuboidal epithelium;simple cuboidal epithelium;http://purl.obolibrary.org/obo/HAO_0000067
simple columnar epithelium;simple columnar epithelium;http://purl.obolibrary.org/obo/HAO_0000068
multilaminar epithelium;multilaminar epithelium;http://purl.obolibrary.org/obo/HAO_0000069
simple squamous epithelium;simple squamous epithelium;http://purl.obolibrary.org/obo/HAO_0000070
atypical epithelium;atypical epithelium;http://purl.obolibrary.org/obo/HAO_0000071
cavitated compound organ;cavitated compound organ;http://purl.obolibrary.org/obo/HAO_0000072
unilaminar epithelium;unilaminar epithelium;http://purl.obolibrary.org/obo/HAO_0000073
solid compound organ;solid compound organ;http://purl.obolibrary.org/obo/HAO_0000074
T9;T9;http://purl.obolibrary.org/obo/HAO_0000075
abdominal tergum 9;T9;http://purl.obolibrary.org/obo/HAO_0000075
afterplatten;T9;http://purl.obolibrary.org/obo/HAO_0000075
ecaile anale;T9;http://purl.obolibrary.org/obo/HAO_0000075
epipygium;T9;http://purl.obolibrary.org/obo/HAO_0000075
female T9;T9;http://purl.obolibrary.org/obo/HAO_0000075
hintere platten;T9;http://purl.obolibrary.org/obo/HAO_0000075
hypopygial valves;T9;http://purl.obolibrary.org/obo/HAO_0000075
obere hälfte d. seitenwand;T9;http://purl.obolibrary.org/obo/HAO_0000075
outer ovipositor plate;T9;http://purl.obolibrary.org/obo/HAO_0000075
outer plate;T9;http://purl.obolibrary.org/obo/HAO_0000075
