"Number","SpeciesName","VenacularName","TaxonName","TaxonAuthor","TaxonType"
"1","Abies alba Mill.","Weiss-Tanne","Abies alba","Mill.","plant"
"51094","Acaulon muticum (Hedw.) Muell.Hal.","","","","moss"
"50142","Acaulon muticum (Hedw.) Muell.Hal. var. muticum","","","","moss"
"6","Acer campestre L.","Feld-Ahorn","Acer campestre","L.","plant"
"7","Acer monspessulanum L.","Franzoesischer Ahorn","Acer monspessulanum","L.","plant"
"8","Acer negundo L.","Eschen-Ahorn","Acer negundo","L.","plant"
"13","Acer opalus Mill.","Schneeballblaettriger Ahorn","Acer opalus","Mill.","plant"
"14","Acer platanoides L.","Spitz-Ahorn","Acer platanoides","L.","plant"
"15","Acer pseudoplatanus L.","Berg-Ahorn","Acer pseudoplatanus","L.","plant"
"17","Aceras anthropophorum (L.) W. T. Aiton","Ohnsporn","Aceras anthropophorum","(L.) W. T. Aiton","plant"
"19","Achillea atrata L.","Schwarzrandige Schafgarbe","Achillea atrata","L.","plant"
"21","Achillea clavennae L.","Bittere Schafgarbe","Achillea clavennae","L.","plant"
"29","Achillea collina Becker ex Rchb.","Huegel-Wiesenschafgarbe","Achillea collina","Becker ex Rchb.","plant"
"26","Achillea macrophylla L.","Grossblaettrige Schafgarbe","Achillea macrophylla","L.","plant"
"31","Achillea millefolium L.","Gewoehnliche Wiesen-Schafgarbe","Achillea millefolium","L.","plant"
"32","Achillea millefolium subsp. millefolium L.","Gewoehnliche Wiesen-Schafgarbe i.e.S.","Achillea millefolium subsp. millefolium","L.","plant"
"33","Achillea millefolium subsp. sudetica (Opiz) Weiss","Sudeten-Wiesenschafgarbe","Achillea millefolium subsp. sudetica","(Opiz) Weiss","plant"
"39","Achillea nobilis L.","Edle Schafgarbe","Achillea nobilis","L.","plant"
"34","Achillea pannonica Scheele","Ungarische Wiesen-Schafgarbe","Achillea pannonica","Scheele","plant"
"44","Achillea ptarmica L.","Gewoehnliche Sumpf-Schafgarbe","Achillea ptarmica","L.","plant"
"35","Achillea roseoalba Ehrend.","Blassrote Wiesen-Schafgarbe","Achillea roseoalba","Ehrend.","plant"
"27369","Achillea salicifolia Besser","Weidenblaettrige Sumpf-Schafgarbe","Achillea salicifolia","Besser","plant"
"36","Achillea setacea Waldst. & Kit.","Feinblaettrige Wiesen-Schafgarbe","Achillea setacea","Waldst. & Kit.","plant"
"48","Acinos alpinus (L.) Moench","Alpen-Steinquendel","Acinos alpinus","(L.) Moench","plant"
"49","Acinos arvensis (Lam.) Dandy","Feld-Steinquendel","Acinos arvensis","(Lam.) Dandy","plant"
"14232","Aconitum degenii subsp. paniculatum (Arcang.) Mucher","Rispen-Eisenhut","Aconitum degenii subsp. paniculatum","(Arcang.) Mucher","plant"
"20209","Aconitum lycoctonum subsp. vulparia (Rchb. ex Spreng.) Nyman","Fuchs-Eisenhut","Aconitum lycoctonum subsp. vulparia","(Rchb. ex Spreng.) Nyman","plant"
"52","Aconitum napellus L.","Blauer Eisenhut","Aconitum napellus","L.","plant"
"6539","Aconitum napellus subsp. napellus L.","Blauer Eisenhut","Aconitum napellus subsp. napellus","L.","plant"
"14276","Aconitum plicatum Koehler ex Rchb.","Faltenstirniger Eisenhut","Aconitum plicatum","Koehler ex Rchb.","plant"
"20116","Aconitum tauricum Wulfen","Tauern-Eisenhut","Aconitum tauricum","Wulfen","plant"
"61","Aconitum variegatum L.","Bunter Eisenhut","Aconitum variegatum","L.","plant"
"69","Acorus calamus L.","Kalmus","Acorus calamus","L.","plant"
"6540","Acroptilon repens (L.) DC.","Federblume","Acroptilon repens","(L.) DC.","plant"
"70","Actaea spicata L.","Christophskraut","Actaea spicata","L.","plant"
"71","Adenophora liliifolia (L.) DC.","Becherglocke","Adenophora liliifolia","(L.) DC.","plant"
"72","Adenostyles alliariae (Gouan) Kern.","Grauer Alpendost","Adenostyles alliariae","(Gouan) Kern.","plant"
"73","Adenostyles glabra (Mill.) DC.","Gruener Alpendost","Adenostyles glabra","(Mill.) DC.","plant"
"76","Adonis aestivalis L.","Sommer-Adonisroeschen","Adonis aestivalis","L.","plant"
"78","Adonis flammea Jacq.","Flammen-Adonisroeschen","Adonis flammea","Jacq.","plant"
"80","Adonis vernalis L.","Fruehlings-Adonisroeschen","Adonis vernalis","L.","plant"
"81","Adoxa moschatellina L.","Moschuskraut","Adoxa moschatellina","L.","plant"
"87","Aegopodium podagraria L.","Giersch","Aegopodium podagraria","L.","plant"
"92","Aethionema saxatile (L.) R. Br.","Steintaeschel","Aethionema saxatile","(L.) R. Br.","plant"
"94","Aethusa cynapium L.","Hundspetersilie","Aethusa cynapium","L.","plant"
"99","Agrimonia eupatoria L.","Kleiner Odermennig","Agrimonia eupatoria","L.","plant"
"102","Agrimonia procera Wallr.","Grosser Odermennig","Agrimonia procera","Wallr.","plant"
"116","Agrostemma githago L.","Kornrade","Agrostemma githago","L.","plant"
"20168","Agrostis agrostiflora (Beck) Rauschert","Zartes Straussgras","Agrostis agrostiflora","(Beck) Rauschert","plant"
"118","Agrostis alpina Scop.","Alpen-Straussgras","Agrostis alpina","Scop.","plant"
"121","Agrostis canina L.","Sumpf-Straussgras","Agrostis canina","L.","plant"
"20178","Agrostis capillaris L.","Rotes Straussgras","Agrostis capillaris","L.","plant"
"128","Agrostis gigantea Roth","Riesen-Straussgras","Agrostis gigantea","Roth","plant"
"124","Agrostis rupestris All.","Felsen-Straussgras","Agrostis rupestris","All.","plant"
"119","Agrostis schleicheri Jord. & Verlot","Pyrenaeen-Straussgras","Agrostis schleicheri","Jord. & Verlot","plant"
"129","Agrostis stolonifera L.","Weisses Straussgras","Agrostis stolonifera","L.","plant"
"20195","Agrostis stolonifera var. maritima (Lam.) W. D. J. Koch","Salzliebendes Weisses Straussgras","Agrostis stolonifera var. maritima","(Lam.) W. D. J. Koch","plant"
"13339","Agrostis stolonifera var. stolonifera L.","Gewoehnliches Weisses Straussgras","Agrostis stolonifera var. stolonifera","L.","plant"
"20684","Agrostis vinealis Schreb.","Sand-Straussgras","Agrostis vinealis","Schreb.","plant"
"131","Ailanthus altissima (Mill.) Swingle","Goetterbaum","Ailanthus altissima","(Mill.) Swingle","plant"
"26920","Aira caryophyllea L. s. l.","Nelken-Haferschmiele","Aira caryophyllea","L. s. l.","plant"
"136","Aira praecox L.","Fruehe Haferschmiele","Aira praecox","L.","plant"
"137","Ajuga chamaepitys (L.) Schreb.","Gelber Guensel","Ajuga chamaepitys","(L.) Schreb.","plant"
"138","Ajuga genevensis L.","Genfer Guensel","Ajuga genevensis","L.","plant"
"140","Ajuga pyramidalis L.","Pyramiden-Guensel","Ajuga pyramidalis","L.","plant"
"141","Ajuga reptans L.","Kriechender Guensel","Ajuga reptans","L.","plant"
"20239","Alchemilla alpigena Buser","Kalkalpen-Frauenmantel","Alchemilla alpigena","Buser","plant"
"145","Alchemilla alpina L.","Alpen-Frauenmantel","Alchemilla alpina","L.","plant"
"214","Alchemilla cleistophylla Rothm. & O. Schwarz","Allgaeu-Frauenmantel","Alchemilla cleistophylla","Rothm. & O. Schwarz","plant"
"192","Alchemilla colorata Buser","Geroeteter Frauenmantel","Alchemilla colorata","Buser","plant"
"154","Alchemilla conjuncta agg.","Artengruppe Verbundener Frauenmantel","Alchemilla conjuncta agg.","","plant"
"216","Alchemilla connivens Buser","Zusammenneigender Frauenmantel","Alchemilla connivens","Buser","plant"
"218","Alchemilla coriacea Buser","Ledriger Frauenmantel","Alchemilla coriacea","Buser","plant"
"219","Alchemilla crinita Buser","Langhaariger Frauenmantel","Alchemilla crinita","Buser","plant"
"178","Alchemilla cuspidens Buser","Scharfzaehniger Frauenmantel","Alchemilla cuspidens","Buser","plant"
"222","Alchemilla cymatophylla Juz.","Wellenblaettriger Frauenmantel","Alchemilla cymatophylla","Juz.","plant"
