plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Abies alba;Mill.;plant;Abies alba Mill.;Weiß-Tanne
Abies alba;Mill.;plant;Abies alba Mill.;Weißtanne
Abies;;plant;Abies sp.;Tanne
Acer campestre;L.;plant;Acer campestre L.;Feld-Ahorn
Acer campestre;L.;plant;Acer campestre L.;Feldahorn
Acer monspessulanum;L.;plant;Acer monspessulanum L.;Französischer Ahorn
Acer negundo;L.;plant;Acer negundo L.;Eschen-Ahorn
Acer negundo;L.;plant;Acer negundo L.;Eschenahorn
Acer opalus;Mill.;plant;Acer opalus Mill.;Schneeballblättriger Ahorn
Acer platanoides;L.;plant;Acer platanoides L.;Spitz-Ahorn
Acer platanoides;L.;plant;Acer platanoides L.;Spitzahorn
Acer pseudoplatanus;L.;plant;Acer pseudoplatanus L.;Berg-Ahorn
Acer pseudoplatanus;L.;plant;Acer pseudoplatanus L.;Bergahorn
Acer;;plant;Acer sp.;Ahorn
Aceras anthropophorum;(L.) W. T. Aiton;plant;Aceras anthropophorum (L.) W. T. Aiton;Ohnsporn
Achillea atrata;L.;plant;Achillea atrata L.;Schwarzrandige Schafgarbe
Achillea clavennae;L.;plant;Achillea clavennae L.;Bittere Schafgarbe
Achillea collina;Becker ex Rchb.;plant;Achillea collina Becker ex Rchb.;Hügel-Wiesenschafgarbe
Achillea macrophylla;L.;plant;Achillea macrophylla L.;Großblättrige Schafgarbe
Achillea millefolium;L.;plant;Achillea millefolium L.;Gewöhnliche Wiesen-Schafgarbe
Achillea millefolium subsp. millefolium;L.;plant;Achillea millefolium subsp. millefolium L.;Gewöhnliche Wiesen-Schafgarbe i.e.S.
Achillea millefolium;L.;plant;Achillea millefolium L.;Wiesenschafgarbe
Achillea millefolium subsp. sudetica;(Opiz) Weiss;plant;Achillea millefolium subsp. sudetica (Opiz) Weiss;Sudeten-Wiesenschafgarbe
Achillea nobilis;L.;plant;Achillea nobilis L.;Edle Schafgarbe
Achillea pannonica;Scheele;plant;Achillea pannonica Scheele;Ungarische Wiesen-Schafgarbe
Achillea ptarmica;L.;plant;Achillea ptarmica L.;Gewöhnliche Sumpf-Schafgarbe
Achillea roseoalba;Ehrend.;plant;Achillea roseoalba Ehrend.;Blassrote Wiesen-Schafgarbe
Achillea salicifolia;Besser;plant;Achillea salicifolia Besser;Weidenblättrige Sumpf-Schafgarbe
Achillea setacea;Waldst. & Kit.;plant;Achillea setacea Waldst. & Kit.;Feinblättrige Wiesen-Schafgarbe
Achillea;;plant;Achillea sp.;Schafgarbe
Achillaea;;plant;Achillaea sp.;Schafgarbe
Acinos alpinus;(L.) Moench;plant;Acinos alpinus (L.) Moench;Alpen-Steinquendel
Acinos arvensis;(Lam.) Dandy;plant;Acinos arvensis (Lam.) Dandy;Feld-Steinquendel
Acinos;;plant;Acinos sp.;Steinquendel
Aconitum degenii subsp. paniculatum;(Arcang.) Mucher;plant;Aconitum degenii subsp. paniculatum (Arcang.) Mucher;Rispen-Eisenhut
